MCG,Mean Aggressiveness,Group
44,6.027777777777778,a
3,5.5,ab
5,5.397260273972603,b
2,5.25,b
9,5.1066666666666665,b
1,4.953333333333333,b
45,4.875,b
4,4.871428571428572,b
53,4.688888888888889,b
49,4.6,b
