Hierarchy,d.f.,Sum of Squares,Percent variation,P,Sigma,Phi statistic
Between Region,13,10.194588095068932,8.44982628789921,0.036,0.018805852366189823,0.08449826287899209
Between Source within Region,8,2.7362488134925353,-2.288179255522341,0.477,-0.005092549811154717,-0.02499371833764088
Between Year within Source,22,9.367916709903888,16.275420418568977,0.001,0.03622241962862591,0.17344102814959309
Within Year,274,47.29878940002183,77.56293254905415,0.001,0.17262331897818187,0.22437067450945847
