Severity,MCG,Region,Source,Year,Host,Isolate,5-2(F),5-3(F),6-2(F),7-2(F),8-3(H),9-2(F),12-2(H),17-3(H),20-3(F),36-4(F),50-4(F),55-4(F),92-4(F),106-4(H),110-4(H),114-4(H)
4.3,7,MI,Sebewaing,2009,Black,851,320,318,495,162,244,360,216,357,280,417,532,169,376,532,374,339
4.5,5,MI,eln,2009,unk,852,320,320,489,170,254,360,218,348,280,415,532,157,376,552,370,359
4.2,5,MI,mung,2009,Zorro,853,320,328,489,172,252,360,216,348,280,415,532,173,376,571,386,371
5,5,MI,tuc,2009,Fuji,854,320,328,489,172,252,360,216,348,280,415,531,173,376,571,386,371
4.4,18,MI,hur,2009,Black,855,320,339,489,172,250,360,216,348,280,415,532,173,380,551,382,375
6.3,5,MI,hur,2009,SR06233,858,320,330,489,172,252,360,216,348,280,415,532,173,376,571,386,371
6.9,5,MI,tuc,2009,Black,859,320,328,489,172,252,360,216,348,280,415,532,173,376,571,386,371
6.8,5,MI,unk,2009,unk,860,320,330,495,160,244,360,216,354,280,415,532,188,376,577,374,339
7.2,9,NE,mtc,2010,Orion,861,320,318,495,160,244,360,216,357,280,417,532,212,375,532,374,339
6.2,9,NE,mtc,2010,Orion,862,320,318,495,160,244,360,216,357,280,417,532,212,376,533,374,339
6.8,44,NE,mtc,2010,Orion,863,320,330,495,160,244,360,216,354,280,415,532,188,376,577,374,339
6.3,44,NE,mtc,2010,Orion,864,320,330,495,160,244,360,216,354,280,415,532,188,376,577,374,339
5.8,44,NE,mtc,2010,Orion,865,320,330,495,160,244,360,216,354,280,415,532,188,375,573,374,339
6.4,1,NE,mtc,2010,Orion,866,320,339,483,170,250,368,216,348,280,415,532,157,376,588,386,343
6.5,1,NE,mtc,2010,Emerson,867,320,339,483,170,250,368,216,348,280,415,532,157,376,588,386,343
5.4,44,NE,wmn,2010,Beryl,868,320,339,495,160,244,360,216,354,280,415,531,188,375,573,374,339
5.6,1,NE,wmn,2010,PO7683,869,324,296,489,170,252,360,222,348,280,415,532,173,376,576,378,367
6,45,CO,luc,2010,Yellow,870,324,339,483,172,252,362,222,342,280,415,532,165,380,567,386,359
6.8,5,CO,luc,2010,Yellow,871,320,308,483,170,250,360,222,342,280,415,532,165,380,567,386,355
5,5,CO,luc,2010,Yellow,872,322,308,483,172,250,360,222,342,280,415,532,173,376,576,378,367
4.3,5,CO,luc,2010,Yellow,873,322,308,483,172,248,360,222,348,280,415,532,173,380,567,378,367
6.8,44,CO,luc,2010,Yellow,874,320,330,495,158,244,360,214,354,280,414,532,188,375,578,374,339
5.3,86,CO,luc,2010,Yellow,875,320,320,495,158,244,360,214,357,280,417,532,169,375,533,374,339
4.3,44,CO,luc,2010,Yellow,876,320,330,495,158,244,360,216,354,280,414,532,188,375,578,374,339
3.9,16,CO,gree,2010,Pinto,877,320,328,489,172,252,360,216,348,280,414,532,173,377,581,378,371
4.7,16,CO,gree,2010,Pinto,878,320,328,489,172,252,360,214,348,280,414,532,173,377,581,386,371
6.1,44,CO,gree,2010,Pinto,879,320,330,495,160,252,360,214,354,280,414,532,188,375,578,374,339
5.2,44,CO,gree,2010,Pinto,880,320,330,495,160,252,360,216,357,280,417,532,169,375,578,374,339
5.9,4,CO,gree,2010,Pinto,881,320,330,495,158,244,360,216,354,280,415,532,188,376,578,374,359
4.3,50,CO,gree,2010,Pinto,882,320,320,489,168,254,360,218,348,280,415,531,157,376,552,370,359
6.3,9,CO,gree,2010,Pinto,883,320,318,495,158,244,360,216,357,280,417,531,212,376,533,374,339
5.4,86,CO,eat,2010,Yellow,884,320,318,495,158,244,360,216,357,280,417,532,169,376,533,374,339
6.1,49,CO,eat,2010,Yellow,885,320,339,489,172,250,360,216,348,280,415,531,173,380,551,382,375
3.9,16,CO,eat,2010,Yellow,886,320,328,489,172,252,360,216,348,280,415,532,173,376,571,386,367
3.5,49,CO,eat,2010,Yellow,887,320,339,489,172,250,360,216,348,280,415,532,173,380,552,382,375
4.8,5,CO,eat,2010,Yellow,888,324,308,483,172,250,360,222,348,280,415,532,173,380,552,378,367
4.6,5,CO,eat,2010,Yellow,889,322,308,483,172,250,360,222,348,280,414,532,173,379,567,378,367
4.8,5,CO,eat,2010,Yellow,890,322,308,483,172,250,360,222,348,280,414,531,173,379,567,378,367
3.6,5,ND,tlc,2010,unk,891,322,308,483,172,250,360,222,348,280,414,532,173,379,567,378,367
4,5,ND,tlc,2010,unk,892,320,320,483,168,250,360,218,342,280,414,531,165,379,567,370,359
4.2,5,ND,tlc,2010,unk,893,322,308,483,172,250,360,222,348,280,414,532,173,379,567,378,367
5.6,5,ND,tlc,2010,unk,894,322,308,483,172,250,360,222,348,280,414,532,173,379,567,378,367
5.7,5,ND,tlc,2010,unk,895,322,308,483,172,250,360,220,348,280,414,532,173,379,567,378,367
5.8,50,ND,gfc,2010,unk,896,320,320,483,172,252,366,218,342,282,415,532,165,379,541,370,355
4.9,5,ND,pmc,2010,unk,897,322,308,483,172,250,360,222,348,280,415,532,173,380,567,378,367
5.6,13,ND,pmc,2010,unk,898,322,308,483,172,250,360,222,348,280,415,531,173,379,567,378,367
5.9,13,ND,pmc,2010,unk,899,322,308,483,172,250,360,222,348,280,415,532,173,380,567,378,367
6.2,5,ND,pmc,2010,unk,900,322,308,483,172,250,360,222,348,280,415,531,173,380,567,378,367
4.6,13,ND,wlc,2010,unk,901,320,308,489,168,252,366,220,348,282,415,531,173,380,571,378,371
6,5,ND,wlc,2010,unk,902,322,308,483,172,250,360,222,348,280,415,531,173,380,571,378,367
6,5,ND,wlc,2010,unk,903,322,308,483,172,250,360,222,348,280,415,532,173,380,567,378,371
5.6,3,ND,wlc,2010,unk,904,320,328,489,172,252,360,222,348,280,415,532,173,380,568,386,371
5.8,60,ND,pmc,2010,unk,905,322,308,483,172,250,360,222,348,280,415,532,173,379,567,378,367
5.1,87,ND,pmc,2010,unk,906,320,296,489,174,252,360,222,348,280,414,532,173,377,610,378,371
5.5,60,ND,pmc,2010,unk,907,322,308,483,172,250,360,222,348,280,415,532,173,379,567,378,367
5.7,5,ND,tlc,2010,unk,908,322,308,483,172,250,360,222,348,280,415,532,173,379,567,378,367
5.6,5,ND,tlc,2010,unk,909,322,308,483,172,250,360,222,348,280,415,532,173,379,567,378,367
5.3,13,ND,tlc,2010,unk,910,322,308,483,172,250,360,222,348,280,414,532,173,379,567,378,367
5.4,5,ND,gfc,2010,unk,911,322,308,483,172,250,360,222,348,280,414,532,173,379,567,378,367
5.3,5,ND,gfc,2010,unk,912,322,308,483,172,250,360,222,348,280,414,532,173,380,567,378,367
4.8,5,ND,gfc,2010,unk,913,320,308,489,168,250,360,222,342,282,415,532,173,376,576,378,367
5.9,5,ND,tlc,2010,unk,914,322,308,483,172,250,360,222,348,280,415,531,173,380,567,378,367
4.5,33,France,flds,2012,unk,966,320,339,483,172,252,360,216,348,280,415,532,165,376,548,386,371
5.8,34,France,flds,2012,unk,967,320,330,483,172,252,360,216,348,280,415,532,165,376,548,386,339
4.2,34,France,flds,2012,unk,968,320,330,483,170,254,360,216,348,280,415,532,165,376,567,370,339
5.2,35,France,flds,2012,unk,970,320,308,489,170,244,360,216,348,280,415,532,173,380,555,382,371
