Severity,MCG,Region,Source,Year,Host,Isolate,5-2(F),5-3(F),6-2(F),7-2(F),8-3(H),9-2(F),12-2(H),17-3(H),20-3(F),36-4(F),50-4(F),55-4(F),92-4(F),106-4(H),110-4(H),114-4(H)
4.1,47,Mexico,wmn,2005,Bunsi,632,320,327,483,174,256,372,216,351,280,415,532,173,378,541,374,355
4.7,44,NE,wmn,2005,G122,639,320,330,495,158,244,360,216,354,280,415,532,188,375,578,374,339
6.3,44,NE,wmn,2005,Beryl,640,320,330,495,158,244,360,216,354,280,415,532,188,376,573,374,339
5.8,44,NE,wmn,2005,Beryl,641,320,330,495,158,244,360,216,354,280,417,532,188,376,577,374,339
6.2,9,NE,wmn,2005,G122,642,320,318,495,158,244,360,216,354,280,417,532,212,376,533,374,339
5.2,6,NE,wmn,2005,G122,643,320,330,495,160,244,360,216,363,280,415,532,216,375,594,374,339
6.8,44,NE,wmn,2005,Beryl,644,320,330,495,160,244,360,216,354,280,415,532,188,375,581,374,339
4.8,53,WA,wmn,2005,Beryl,645,320,322,489,170,252,360,218,342,280,415,532,165,376,548,386,355
5.4,60,WA,wmn,2005,Bunsi,646,322,308,483,172,250,360,222,348,280,415,532,173,380,567,378,367
6.2,2,WA,wmn,2005,G122,647,322,339,483,172,250,362,216,348,280,415,532,165,379,567,386,367
4.8,53,WA,wmn,2005,Beryl,648,320,323,489,170,252,360,218,342,280,415,532,165,376,548,386,359
4.6,61,WA,wmn,2005,Bunsi,649,320,339,489,172,252,360,216,348,280,414,532,173,375,584,386,367
5.1,62,WA,wmn,2005,G122,650,322,339,489,170,250,360,216,348,280,415,532,173,375,600,370,367
4,5,WA,wmn,2005,Beryl,651,324,308,483,172,250,360,222,348,280,415,532,173,379,567,378,367
4.6,63,WA,wmn,2005,Bunsi,652,324,339,489,170,252,360,216,342,280,415,532,173,376,548,386,355
4.3,53,WA,wmn,2005,G122,653,320,322,489,168,252,360,218,342,280,415,532,165,375,548,386,355
6.5,5,ND,wmn,2005,G122,654,324,308,483,172,250,360,222,348,280,415,531,173,379,580,378,367
4,46,ND,wmn,2005,Bunsi,655,320,339,483,168,250,368,216,348,280,415,532,157,375,588,386,343
5.8,46,ND,wmn,2005,Beryl,656,320,339,483,170,250,368,216,348,280,415,532,157,376,589,386,367
4,46,ND,wmn,2005,G122,657,320,339,483,170,250,368,216,348,280,415,532,157,376,588,386,343
5.8,46,ND,wmn,2005,Beryl,658,320,339,483,168,250,368,216,348,280,415,532,157,376,589,386,343
3.3,46,ND,wmn,2005,G122,659,322,339,483,170,252,360,216,348,280,415,532,157,375,589,386,343
5.8,45,ND,wmn,2005,Beryl,660,320,328,489,172,252,360,216,348,280,415,532,173,375,571,386,371
5.3,17,MI,wmn,2005,G122,661,320,330,495,158,244,360,216,363,280,417,532,216,375,590,374,339
4.7,3,MI,wmn,2005,Bunsi,662,322,339,483,172,250,360,216,348,280,415,532,165,379,567,386,359
4.4,18,MI,wmn,2005,Beryl,663,320,339,489,168,252,362,216,348,280,415,532,165,375,548,370,355
5.3,16,MI,wmn,2005,Bunsi,664,320,328,489,160,252,360,216,348,280,415,532,169,375,589,378,371
7,5,MI,wmn,2005,G122,665,322,308,483,170,252,360,222,348,280,415,532,173,380,567,378,367
5.1,19,MI,wmn,2005,Beryl,666,320,327,495,170,256,364,216,360,280,415,532,157,378,584,370,408
3.8,20,MI,wmn,2005,G122,667,320,321,489,160,252,360,218,342,280,415,532,169,375,548,370,355
6.2,17,MI,wmn,2005,Beryl,668,320,330,495,172,250,360,216,363,280,417,532,216,375,590,374,339
5.2,5,MI,wmn,2005,Bunsi,669,324,308,483,170,250,360,222,348,280,415,532,173,379,567,378,367
4.5,24,CA,wmn,2005,Beryl,673,320,296,495,172,250,360,218,342,280,415,532,157,375,502,370,387
4.8,30,CA,wmn,2005,Beryl,674,320,327,495,160,250,360,218,342,280,415,531,157,427,552,370,367
4,31,CA,wmn,2005,Beryl,675,320,296,495,170,270,382,222,348,280,415,532,157,375,502,370,371
3.3,25,CA,wmn,2005,G122,676,320,327,483,172,252,360,216,342,280,415,531,157,375,502,370,387
3.8,32,CA,wmn,2005,G122,677,320,296,483,172,256,360,222,360,280,415,531,157,375,556,370,416
3.8,21,CA,wmn,2005,G122,678,320,327,495,172,252,372,216,360,280,415,531,157,377,511,386,416
3.7,23,CA,wmn,2005,Bunsi,679,320,327,483,172,252,360,216,360,280,415,532,157,376,567,374,416
4.8,24,CA,wmn,2005,Bunsi,680,320,320,495,172,252,382,218,342,280,415,532,157,375,502,370,387
3.5,26,CA,wmn,2005,Bunsi,681,320,327,495,160,270,370,216,348,280,415,532,157,375,556,370,371
4.9,40,France,wmn,2005,Bunsi,682,320,320,483,160,254,362,218,360,280,415,532,157,379,571,382,375
4.5,41,France,wmn,2005,Bunsi,683,320,320,483,160,252,360,218,348,280,415,532,173,375,548,378,355
4.3,34,France,wmn,2005,Bunsi,684,320,327,483,160,250,380,216,342,280,415,532,165,375,567,370,367
4.8,42,France,wmn,2005,Beryl,685,320,308,489,160,252,360,222,342,280,415,531,173,375,567,386,367
3.9,35,France,wmn,2005,Beryl,686,320,308,483,160,252,360,222,342,280,415,531,165,376,567,386,355
4.2,35,France,wmn,2005,Beryl,687,320,308,483,170,252,360,222,342,280,415,531,165,376,567,386,355
4.1,43,France,wmn,2005,G122,688,320,320,489,170,252,360,218,342,280,415,532,169,375,541,370,339
3.7,35,France,wmn,2005,G122,689,320,308,483,160,252,360,222,342,280,415,532,165,376,567,386,355
5,35,France,wmn,2005,G122,690,320,308,483,170,252,360,222,342,280,415,532,165,376,567,386,355
7.8,5,ND,rrv,2007,unk,698,322,308,483,172,248,360,222,348,280,415,532,173,379,567,378,367
5.8,4,ND,rrv,2007,unk,699,320,328,489,170,252,360,216,348,280,415,532,173,378,580,378,371
5,45,ND,rrv,2007,unk,700,320,328,489,172,252,360,216,348,280,415,531,173,376,571,386,371
4.9,5,ND,rrv,2007,unk,701,322,308,483,172,250,360,222,348,280,415,532,173,380,567,378,367
5,5,ND,rrv,2007,unk,702,322,308,483,172,250,360,222,348,280,415,532,173,379,567,378,367
5.5,5,ND,rrv,2007,unk,703,322,308,483,170,248,360,222,348,280,415,532,173,379,567,378,367
4.8,44,ND,rrv,2007,unk,704,320,330,495,170,244,360,216,354,280,415,532,188,374,573,374,339
7.8,44,ND,rrv,2007,unk,705,320,330,495,172,244,360,216,354,280,415,532,188,375,573,374,339
5.1,44,ND,rrv,2007,unk,706,320,330,495,170,244,360,216,354,280,415,532,188,375,577,374,339
6.1,61,ND,rrv,2007,unk,707,320,339,489,170,252,360,216,348,280,415,532,173,375,571,386,367
7.8,44,ND,rrv,2007,unk,708,320,330,495,172,244,360,216,354,280,415,532,188,376,577,374,339
7.7,6,ND,rrv,2007,unk,709,320,330,495,170,244,360,216,363,280,417,532,216,376,597,374,339
7.9,44,ND,gfc,2007,unk,710,320,330,495,170,244,360,216,354,280,415,532,173,375,573,374,339
7,45,ND,gfc,2007,unk,711,320,328,489,172,252,360,216,348,280,415,532,188,374,571,386,371
6.6,64,ND,gfc,2007,unk,712,320,308,483,170,250,364,216,348,280,415,532,177,375,564,378,367
