iso_st_mcg_org_loc_yr_hst_cult_rep,106-4(H),110-4(H),114-4(H),12-2(H),17-3(H),20-3(F),36-4(F),5-2(F),5-3(F),50-4(F),55-4(F),6-2(F),7-2(F),8-3(H),9-2(F),92-4(F)
650_5.1_62_WA_wmn_2005_G122,600,371,367,215,348,280,415,322,339,532,173,489,170,250,360,375
651_4_5_WA_wmn_2005_Beryl,567,379,368,221,348,280,415,323,308,532,173,483,171,250,360,379
652_4.6_63_WA_wmn_2005_Bunsi,548,385,355,215,342,280,415,323,339,532,173,489,170,252,360,376
653_4.3_53_WA_wmn_2005_G122,548,385,355,217,342,280,415,320,322,532,165,489,169,252,360,375
654_6.5_5_ND_wmn_2005_G122,579,379,367,221,348,280,415,323,308,531,173,483,172,250,360,379
655_4_46_ND_wmn_2005_Bunsi,588,385,343,215,348,280,415,320,339,532,157,483,169,250,368,375
656_5.8_46_ND_wmn_2005_Beryl,589,385,367,215,348,280,415,320,339,532,157,483,170,250,368,376
657_4_46_ND_wmn_2005_G122,588,385,343,215,348,280,415,320,339,532,157,483,170,250,368,376
658_5.8_46_ND_wmn_2005_Beryl,589,385,343,215,348,280,415,320,339,532,157,483,169,250,368,376
659_3.3_46_ND_wmn_2005_G122,589,385,343,215,348,280,415,321,339,532,157,483,170,252,360,375
660_5.8_45_ND_wmn_2005_Beryl,571,385,372,215,348,280,415,320,328,532,173,490,171,252,360,375
661_5.3_17_MI_wmn_2005_G122,590,375,339,215,363,280,417,320,330,532,215,493,159,244,360,375
662_4.7_3_MI_wmn_2005_Bunsi,567,385,359,215,348,280,415,322,339,532,165,483,171,250,360,379
663_4.4_18_MI_wmn_2005_Beryl,548,371,355,215,348,280,415,320,339,532,165,490,169,252,362,375
664_5.3_16_MI_wmn_2005_Bunsi,589,379,372,215,348,280,415,320,328,532,169,490,160,252,360,375
665_7_5_MI_wmn_2005_G122,567,379,368,221,348,280,415,322,308,532,173,483,170,251,360,380
666_5.1_19_MI_wmn_2005_Beryl,585,371,408,215,360,280,415,320,327,532,157,493,170,256,365,378
667_3.8_20_MI_wmn_2005_G122,548,371,355,217,342,280,415,320,321,532,169,490,160,252,360,375
668_6.2_17_MI_wmn_2005_Beryl,590,375,339,215,364,280,417,320,330,532,216,494,172,250,360,375
669_5.2_5_MI_wmn_2005_Bunsi,567,379,368,221,348,280,415,323,308,532,173,483,170,250,360,379
673_4.5_24_CA_wmn_2005_Beryl,502,371,388,217,342,280,415,320,296,532,157,494,172,250,360,375
674_4.8_30_CA_wmn_2005_Beryl,552,371,368,217,342,280,415,320,327,531,157,494,160,250,360,427
675_4_31_CA_wmn_2005_Beryl,502,371,372,221,348,280,415,320,296,532,157,493,170,270,383,375
676_3.3_25_CA_wmn_2005_G122,502,371,388,215,342,280,415,320,327,531,157,483,172,252,360,375
677_3.8_32_CA_wmn_2005_G122,556,371,416,221,360,280,415,320,296,531,157,483,172,256,360,375
678_3.8_21_CA_wmn_2005_G122,511,384,416,215,360,280,415,320,327,531,157,493,172,252,372,377
679_3.7_23_CA_wmn_2005_Bunsi,567,374,416,215,360,280,415,320,327,532,157,483,172,252,360,376
680_4.8_24_CA_wmn_2005_Bunsi,502,371,388,217,342,280,415,320,320,532,157,493,172,252,383,375
681_3.5_26_CA_wmn_2005_Bunsi,556,371,372,215,348,280,415,320,327,532,157,493,160,270,370,375
682_4.9_40_FR_wmn_2005_Bunsi,571,382,376,217,361,280,415,320,320,532,157,483,160,254,361,379
683_4.5_41_FR_wmn_2005_Bunsi,548,379,355,217,348,280,415,320,320,532,173,483,160,252,360,375
684_4.3_34_FR_wmn_2005_Bunsi,567,370,367,215,342,280,415,320,327,532,165,483,160,250,381,375
685_4.8_42_FR_wmn_2005_Beryl,567,385,367,221,342,280,415,320,308,531,173,489,160,252,360,375
686_3.9_35_FR_wmn_2005_Beryl,567,385,355,221,342,280,415,320,308,531,165,483,160,252,360,376
687_4.2_35_FR_wmn_2005_Beryl,567,385,355,221,342,280,415,320,308,531,165,483,170,252,359,376
688_4.1_43_FR_wmn_2005_G122,542,370,339,217,342,280,415,320,320,532,169,489,170,252,360,375
689_3.7_35_FR_wmn_2005_G122,567,385,355,221,342,280,415,320,308,532,165,483,160,252,360,376
690_5_35_FR_wmn_2005_G122,567,386,355,221,343,280,415,320,308,532,165,483,170,252,360,376
698_7.8_5_ND_rrv_2007_unk,567,379,367,221,348,280,415,322,308,532,173,483,172,249,360,379
699_5.8_4_ND_rrv_2007_unk,580,378,371,215,348,280,415,320,328,532,173,489,170,252,360,378
700_5_45_ND_rrv_2007_unk,571,385,371,215,348,280,415,320,328,531,173,489,172,252,360,376
701_4.9_5_ND_rrv_2007_unk,567,378,367,221,348,280,415,322,308,532,173,483,172,250,360,380
702_5_5_ND_rrv_2007_unk,567,378,367,221,348,280,415,322,308,532,173,483,172,250,360,379
703_5.5_5_ND_rrv_2007_unk,567,379,367,221,348,280,415,322,308,532,173,483,170,249,360,379
704_4.8_44_ND_rrv_2007_unk,573,374,339,215,354,280,415,320,330,532,188,493,170,244,360,374
705_7.8_44_ND_rrv_2007_unk,573,374,339,215,355,280,415,320,331,532,188,493,172,244,360,375
706_5.1_44_ND_rrv_2007_unk,577,374,339,215,354,280,415,320,330,532,188,493,170,244,360,375
707_6.1_61_ND_rrv_2007_unk,571,385,367,215,348,280,415,320,339,532,173,489,170,252,360,375
708_7.8_44_ND_rrv_2007_unk,577,374,339,215,354,280,415,320,330,532,188,493,172,244,360,376
709_7.7_6_ND_rrv_2007_unk,597,374,339,215,363,280,417,320,330,532,216,493,170,244,360,376
710_7.9_44_ND_gfc_2007_unk,573,374,339,215,354,280,415,320,330,532,173,493,170,244,360,375
711_7_45_ND_gfc_2007_unk,571,385,371,215,348,280,415,320,328,532,188,489,172,252,360,374
712_6.6_64_ND_gfc_2007_unk,563,378,367,215,348,280,415,320,308,532,177,483,170,250,365,375
713_6.6_65_ND_gfc_2007_unk,610,379,372,221,348,280,415,320,296,532,173,489,170,252,361,378
714_7_5_ND_rrv_2007_unk,567,379,367,221,348,280,415,322,308,532,173,483,160,250,360,379
715_7.4_5_ND_rrv_2007_unk,567,378,367,221,348,280,415,322,308,532,173,483,170,249,360,380
716_6.3_66_ND_gfc_2007_unk,576,378,367,221,342,280,415,320,308,531,173,489,170,249,360,376
717_7.8_5_ND_rrv_2007_unk,581,379,368,221,348,280,414,322,308,532,173,484,172,250,360,377
718_5.5_67_ND_rrv_2007_unk,546,381,376,221,351,280,415,320,308,532,173,489,160,254,360,378
719_7.5_44_ND_rrv_2007_unk,577,374,339,215,354,280,415,320,330,532,188,493,172,244,360,376
720_6_68_ND_rrv_2007_unk,571,379,371,221,348,280,415,320,308,532,173,489,170,252,365,376
721_6.3_68_ND_rrv_2007_unk,571,379,371,221,348,280,415,320,308,532,173,489,172,252,365,375
722_6_45_ND_rrv_2007_unk,571,385,372,215,348,280,415,320,328,532,173,489,160,252,360,376
723_6.5_5_ND_rrv_2007_unk,567,378,368,221,348,280,415,322,308,532,173,483,172,250,360,380
724_4.2_45_CO_luc_2007_Yellow,571,385,371,215,348,280,415,320,328,532,173,489,160,252,360,376
725_5_45_CO_luc_2007_Yellow,571,385,371,215,348,280,415,320,328,532,173,489,170,252,360,375
726_4.1_45_CO_luc_2007_Yellow,571,385,371,215,348,280,415,320,328,532,173,489,170,252,360,375
727_4.2_4_CO_luc_2007_Yellow,580,378,371,215,348,280,415,320,328,532,173,489,172,252,360,378
728_4.9_9_CO_luc_2007_Yellow,532,374,339,215,357,280,417,320,318,532,212,493,160,244,360,376
729_4.4_8_CO_luc_2007_Yellow,552,370,359,217,348,280,415,320,320,532,157,489,170,254,360,375
730_3.8_8_CO_luc_2007_Yellow,552,370,359,217,348,280,415,320,320,532,157,489,170,254,360,375
731_4.7_7_CO_gree_2007_Yellow,532,374,339,215,357,280,417,320,318,532,169,493,160,244,360,376
732_4_8_CO_gree_2007_Yellow,552,370,359,217,348,280,415,320,320,532,157,489,170,244,360,375
733_3.8_8_CO_gree_2007_Yellow,552,370,359,217,348,280,415,320,320,532,157,489,170,254,360,376
734_5.2_9_CO_gree_2007_Yellow,532,374,339,215,357,280,417,320,318,532,212,493,160,244,360,376
735_4.5_45_CO_gree_2007_Yellow,571,385,371,215,348,280,415,320,328,532,173,489,172,252,360,376
736_4.5_8_CO_gree_2007_Yellow,552,370,359,217,348,280,415,320,320,532,157,489,170,254,360,376
737_4_45_CO_gree_2007_Yellow,571,385,371,215,348,280,415,320,328,532,173,489,172,252,360,375
738_4.4_7_CO_eat_2007_Yellow,532,374,339,215,357,280,417,320,318,532,169,493,162,244,360,376
739_4.2_8_CO_eat_2007_Yellow,552,370,359,217,348,280,415,320,320,532,157,489,170,254,360,376
740_3.9_45_CO_eat_2007_Yellow,571,385,371,215,348,280,415,320,328,532,173,489,172,252,360,376
741_3.9_45_CO_eat_2007_Yellow,571,385,371,215,348,280,415,320,328,531,173,489,172,252,360,376
743_3.8_69_CO_eat_2007_Yellow,551,381,376,215,348,280,415,320,339,532,173,489,172,250,360,380
744_4.3_45_CO_eat_2007_Yellow,571,385,371,215,348,280,415,320,329,532,173,489,172,252,360,376
746_4.3_45_NE_mtc_2007_Beryl,571,385,372,215,348,280,415,320,328,532,173,489,172,252,360,376
747_6.3_44_NE_mtc_2007_Beryl,577,374,339,215,354,280,415,320,330,532,188,493,160,244,360,376
748_5.7_9_NE_mtc_2007_Beryl,532,374,339,215,357,280,417,320,318,532,212,493,160,244,360,375
749_5.7_9_NE_mtc_2007_Beryl,533,374,339,215,357,280,417,320,318,532,212,493,160,244,360,376
750_5.6_44_NE_mtc_2007_Beryl,577,374,339,215,354,280,415,320,330,532,188,493,160,244,360,376
751_5.3_44_NE_sbf_2007_Beryl,577,374,339,215,354,280,415,320,330,532,188,493,160,244,360,376
752_5.7_44_NE_sbf_2007_Weihing,573,374,339,215,354,280,415,320,330,532,188,493,160,244,360,375
753_4.4_1_NE_sbf_2007_Weihing,588,385,343,215,348,280,415,320,339,532,157,483,170,250,367,376
754_4.8_1_NE_sbf_2007_Weihing,588,385,343,215,348,280,415,320,339,532,157,483,170,250,367,376
755_4.5_44_NE_sbf_2007_Beryl,573,374,339,215,354,280,415,320,339,531,188,493,160,244,360,375
756_4_58_WA_prsr_2007_Pinto,576,379,368,221,348,280,415,323,296,532,173,489,170,251,360,376
757_4.4_70_WA_prsr_2007_Pinto,567,386,359,221,342,280,415,323,339,532,165,483,172,251,362,380
758_4.1_71_WA_prsr_2007_Pinto,567,385,355,221,342,280,415,320,308,532,165,483,170,250,360,380
759_4.3_72_WA_prsr_2007_Pinto,576,379,367,221,342,280,415,322,308,532,173,483,172,250,360,376
760_4.5_5_WA_prsr_2007_Pinto,567,379,367,221,348,280,415,322,308,532,173,483,172,249,360,380
762_4.1_5_WA_prsr_2007_Pinto,567,379,368,221,348,280,415,323,308,532,173,483,172,250,360,379
763_3.8_73_WA_prsr_2007_Pinto,571,379,355,215,342,280,415,320,339,532,173,489,170,249,360,379
764_3.9_73_WA_prsr_2007_redkid,584,379,355,215,342,280,415,320,339,532,173,489,170,249,360,375
765_3.2_61_WA_prsr_2007_redkid,584,385,368,215,348,280,415,320,339,532,173,490,172,252,362,375
766_3.7_74_WA_prsr_2007_redkid,548,371,355,215,342,280,415,322,339,532,165,491,170,250,362,376
767_3.8_75_WA_prsr_2007_redkid,548,371,355,215,342,280,415,323,339,532,173,490,170,252,360,376
768_4.1_70_WA_prsr_2007_redkid,567,385,360,215,348,280,415,322,339,532,165,483,172,250,362,380
769_4.8_76_WA_prsr_2007_redkid,567,379,368,215,342,280,415,323,308,532,173,490,170,252,360,376
770_4.3_75_WA_prsr_2007_redkid,548,371,355,221,348,281,415,320,339,532,169,490,170,252,360,376
771_3.6_58_WA_prsr_2007_Merlot,576,379,368,221,348,280,415,323,296,532,173,490,172,251,360,376
772_5.1_5_WA_prsr_2007_Merlot,567,379,368,221,348,280,415,323,308,532,173,484,170,251,360,380
773_4.5_5_WA_prsr_2007_Merlot,589,379,372,215,348,280,415,320,328,532,169,490,160,252,360,375
774_4.3_2_WA_prsr_2007_Merlot,567,379,368,221,348,280,415,322,308,532,173,483,170,251,360,380
775_4.3_70_WA_prsr_2007_Merlot,585,371,408,215,360,280,415,320,327,532,157,493,170,256,365,378
776_4.8_2_WA_prsr_2007_Merlot,548,371,355,217,342,280,415,320,321,532,169,490,160,252,360,375
777_3.8_77_WA_prsr_2007_Merlot,590,375,339,215,364,280,417,320,330,532,216,494,172,250,360,375
778_4.1_78_WA_prsr_2007_Merlot,567,379,368,221,348,280,415,323,308,532,173,483,170,250,360,379
786_5.4_53_WA_wmn_2008_11A,502,371,388,217,342,280,415,320,296,532,157,494,172,250,360,375
787_5.8_2_WA_wmn_2008_cornell,552,371,368,217,342,280,415,320,327,531,157,494,160,250,360,427
788_6_5_WA_wmn_2008_WM31,502,371,372,221,348,280,415,320,296,532,157,493,170,270,383,375
789_4.8_79_WA_wmn_2008_Bunsi,502,371,388,215,342,280,415,320,327,531,157,483,172,252,360,375
790_5_80_WA_wmn_2008_37,556,371,416,221,360,280,415,320,296,531,157,483,172,256,360,375
791_5.4_53_WA_wmn_2008_G122,511,384,416,215,360,280,415,320,327,531,157,493,172,252,372,377
792_5.8_2_WA_wmn_2008_PO7863,567,374,416,215,360,280,415,320,327,532,157,483,172,252,360,376
793_5.3_81_WA_wmn_2008_Orion,502,371,388,217,342,280,415,320,320,532,157,493,172,252,383,375
794_5.3_82_WA_wmn_2008_Beryl,556,371,372,215,348,280,415,320,327,532,157,493,160,270,370,375
795_5.4_80_WA_wmn_2008_PO7104,571,382,376,217,361,280,415,320,320,532,157,483,160,254,361,379
